Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
1200,54,2,2,1,1,1,0,1,0,Penha,rent,22.22222222222222,"(-23.519905, -46.5549)",Pública,0.26578078374580316
1200,48,2,2,1,1,1,0,0,0,Penha,rent,25.0,"(-23.512882, -46.547654)",Privada,0.4237838943895455
1200,50,2,2,1,1,0,0,1,0,Penha,rent,24.0,"(-23.530508, -46.534794)",Pública,0.34598574771980506
1900,49,2,2,1,1,0,0,1,0,Penha,rent,38.775510204081634,"(-23.523856, -46.540275)",Privada,0.23178398573779066
1600,50,2,2,1,1,1,0,1,0,Penha,rent,32.0,"(-23.510968, -46.525288)",Privada,0.08801386108693376
800,65,2,2,1,1,0,0,0,0,Ponte Rasa,rent,12.307692307692308,"(-23.505837, -46.496527)",Privada,0.06915920186161224
1100,50,2,2,1,1,1,0,0,0,Ponte Rasa,rent,22.0,"(-23.507356, -46.473776)",Pública,0.2660280632253721
1660,49,2,2,1,1,0,0,0,0,Ponte Rasa,rent,33.87755102040816,"(-23.509273, -46.495231)",Pública,0.44391877172660854
850,50,2,2,1,1,0,0,0,0,Ponte Rasa,rent,17.0,"(-23.510047, -46.50023)",Pública,0.2181077848535794
1000,60,2,2,1,1,0,0,0,0,Ponte Rasa,rent,16.666666666666668,"(-23.509385, -46.497082)",Pública,0.2514915659669878
1000,60,2,2,1,1,0,0,0,0,Ponte Rasa,rent,16.666666666666668,"(-23.509385, -46.497082)",Pública,0.2514915659669878
900,50,2,2,1,1,0,0,0,0,Ponte Rasa,rent,18.0,"(-23.509273, -46.495231)",Pública,0.44391877172660854
1070,50,2,2,1,1,0,0,1,0,Ponte Rasa,rent,21.4,"(-23.509273, -46.495231)",Pública,0.44391877172660854
750,40,1,2,1,1,0,0,0,0,Sapopemba,rent,18.75,"(-23.60445, -46.49175)",Pública,0.27193489209478705
1300,65,3,2,1,1,0,0,1,0,Sapopemba,rent,20.0,"(-23.585253, -46.533766)",Privada,0.38508207583645127
1200,74,2,2,1,1,1,0,0,0,Sapopemba,rent,16.216216216216218,"(-23.578793, -46.542166)",Privada,0.35757054901790913
1650,57,2,2,1,1,0,0,0,0,Sapopemba,rent,28.94736842105263,"(-23.585748, -46.533696)",Privada,0.36351330807980237
1500,56,2,2,1,1,0,0,0,0,Sapopemba,rent,26.785714285714285,"(-23.58575, -46.533612)",Privada,0.35428873261122373
2600,95,3,1,2,2,1,0,1,0,Sapopemba,rent,27.36842105263158,"(-23.573746, -46.565824)",Pública,0.2609584419856265
1500,56,2,2,1,1,0,0,0,0,Sapopemba,rent,26.785714285714285,"(-23.58575, -46.533612)",Privada,0.35428873261122373
1205,72,3,2,1,1,1,0,1,0,Sapopemba,rent,16.73611111111111,"(-23.610332, -46.527935)",Pública,0.19042326444289917
1600,56,2,2,1,1,0,0,0,0,Sapopemba,rent,28.571428571428573,"(-23.611663, -46.487523)",Pública,0.28495310818011743
1300,68,3,2,1,1,1,0,1,0,Sapopemba,rent,19.11764705882353,"(-23.585253, -46.533766)",Privada,0.38508207583645127
900,48,2,2,1,1,0,0,0,0,Sapopemba,rent,18.75,"(-23.611087, -46.489625)",Pública,0.2688330751962585
1500,56,2,2,1,1,0,0,0,0,Sapopemba,rent,26.785714285714285,"(-23.58575, -46.533612)",Privada,0.35428873261122373
1500,57,2,2,1,1,0,1,1,0,Sapopemba,rent,26.31578947368421,"(-23.600613, -46.512084)",Privada,0.1974096602723413
