,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
5139,1600000,162,3,4,3,3,0,0,1,0,Brooklin,sale,9876.543209876543,"(-23.6226092, -46.68201)",Privada,0.10160931047665014
5140,1700000,216,4,3,2,3,0,0,0,0,Brooklin,sale,7870.37037037037,"(-23.6124084, -46.6825042)",Privada,0.15303951166947505
5141,1900000,227,3,4,3,3,0,0,1,0,Brooklin,sale,8370.044052863435,"(-23.6132778, -46.6843195)",Privada,0.3297853391731305
5142,1906000,138,2,3,2,2,0,0,1,0,Brooklin,sale,13811.59420289855,"(-23.6172149, -46.6840777)",Privada,0.5205188988155235
5143,1900000,131,2,3,2,2,0,1,1,0,Brooklin,sale,14503.81679389313,"(-23.6040517, -46.6948844)",Privada,0.4976590904444499
5144,1600000,99,2,2,1,2,0,1,0,0,Brooklin,sale,16161.61616161616,"(-23.6068912, -46.6959343)",Pública,0.5209480913958162
5432,759000,103,4,4,2,2,1,0,1,0,Barra Funda,sale,7368.9320388349515,"(-23.515459, -46.686931)",Privada,0.36732005537466245
5433,449999,55,2,2,1,1,0,0,0,0,Barra Funda,sale,8181.8,"(-23.528845, -46.653782)",Privada,0.23959415780384774
5434,194900,31,1,2,1,1,1,0,0,0,Barra Funda,sale,6287.096774193548,"(-23.515459, -46.686931)",Privada,0.36732005537466245
5435,390000,85,2,2,1,1,1,0,0,0,Barra Funda,sale,4588.235294117647,"(-23.533838, -46.650842)",Privada,0.23391216816867677
5436,580000,58,2,2,1,1,0,0,1,0,Barra Funda,sale,10000.0,"(-23.528876, -46.664234)",Privada,0.40052388368698966
5437,723000,100,3,3,1,2,1,0,1,0,Barra Funda,sale,7230.0,"(-23.518756, -46.668966)",Pública,1.0195608767858904
5438,720000,100,3,3,1,2,1,0,1,0,Barra Funda,sale,7200.0,"(-23.518222, -46.669247)",Pública,0.9524191090955909
5439,310000,34,1,2,1,1,1,1,1,0,Barra Funda,sale,9117.64705882353,"(-23.519829, -46.676704)",Privada,1.0579093128512183
5440,500000,69,2,2,1,1,1,0,1,0,Barra Funda,sale,7246.376811594203,"(-23.518756, -46.668966)",Pública,1.0195608767858904
5441,300000,34,2,2,1,1,1,0,0,0,Barra Funda,sale,8823.529411764706,"(-23.527064, -46.649711)",Privada,0.3865172272690211
5442,570000,70,2,2,1,1,1,0,1,0,Barra Funda,sale,8142.857142857143,"(-23.515811, -46.686777)",Privada,0.33305926403567204
5443,530000,69,2,2,1,1,1,0,1,0,Barra Funda,sale,7681.159420289855,"(-23.518678, -46.667704)",Pública,1.0813439952676218
5444,430000,58,2,2,1,1,1,0,0,0,Barra Funda,sale,7413.793103448276,"(-23.529065, -46.652303)",Privada,0.16570164291578504
5445,391000,67,2,2,1,1,1,0,1,0,Barra Funda,sale,5835.820895522388,"(-23.523866, -46.652661)",Pública,0.15181554521045038
5446,435000,67,2,2,1,1,1,0,1,1,Barra Funda,sale,6492.537313432836,"(-23.524309, -46.652729)",Pública,0.1507814503838018
5447,530000,93,3,2,1,2,1,0,1,0,Barra Funda,sale,5698.924731182796,"(-23.527031, -46.650828)",Pública,0.4196237337722983
5448,470000,64,3,2,1,2,1,0,0,0,Barra Funda,sale,7343.75,"(-23.529065, -46.652303)",Privada,0.16570164291578504
5449,580000,68,2,2,1,1,1,0,1,0,Barra Funda,sale,8529.411764705883,"(-23.533105, -46.653992)",Privada,0.3319968532634471
5450,490000,62,2,2,1,1,1,0,1,0,Barra Funda,sale,7903.225806451613,"(-23.526837, -46.653373)",Pública,0.3335780653195158
5451,695000,76,3,2,1,2,1,1,1,0,Barra Funda,sale,9144.736842105263,"(-23.524613, -46.65527)",Pública,0.14874893145181164
5452,730000,100,3,3,1,2,1,0,0,0,Barra Funda,sale,7300.0,"(-23.518756, -46.668966)",Pública,1.0195608767858904
5453,774000,100,3,3,1,2,1,0,1,0,Barra Funda,sale,7740.0,"(-23.518678, -46.667704)",Pública,1.0813439952676218
5454,1290000,132,3,3,1,2,1,0,1,0,Barra Funda,sale,9772.727272727272,"(-23.520264, -46.666077)",Pública,1.1496492359410577
5455,751665,93,3,3,1,2,1,0,1,0,Barra Funda,sale,8082.419354838709,"(-23.511044, -46.696053)",Privada,0.765012236187589
5456,550000,70,3,2,1,1,1,0,1,0,Barra Funda,sale,7857.142857142857,"(-23.515811, -46.686777)",Privada,0.33305926403567204
5457,642000,79,3,2,1,1,0,0,0,0,Barra Funda,sale,8126.5822784810125,"(-23.526837, -46.653373)",Pública,0.3335780653195158
5458,580000,68,2,2,1,1,1,0,1,0,Barra Funda,sale,8529.411764705883,"(-23.533623, -46.654474)",Privada,0.40935238479968256
5459,940000,102,3,3,1,2,0,0,1,0,Barra Funda,sale,9215.686274509804,"(-23.529705, -46.66279)",Privada,0.30708799846729035
5460,525000,51,1,2,1,1,1,0,1,0,Barra Funda,sale,10294.117647058823,"(-23.528658, -46.663065)",Privada,0.35205530355245046
5461,418886,61,2,2,1,1,1,0,1,0,Barra Funda,sale,6866.983606557377,"(-23.511044, -46.696053)",Privada,0.765012236187589
5462,323000,34,1,2,1,1,1,0,1,0,Bela Vista,sale,9500.0,"(-23.552675, -46.639531)",Pública,0.2606707494124532
5463,323000,34,1,2,1,1,1,0,1,0,Bela Vista,sale,9500.0,"(-23.552675, -46.639531)",Pública,0.2606707494124532
5464,340000,50,1,2,1,1,1,1,1,0,Bela Vista,sale,6800.0,"(-23.567556, -46.645463)",Privada,0.23969967206247036
5465,328000,40,1,2,1,1,1,0,1,0,Bela Vista,sale,8200.0,"(-23.551871, -46.639719)",Pública,0.17141386009666335
5466,475000,40,1,2,1,1,1,0,1,0,Bela Vista,sale,11875.0,"(-23.553478, -46.650832)",Privada,0.160755330703386
5467,1900000,191,3,3,1,1,0,0,0,0,Bela Vista,sale,9947.643979057591,"(-23.570536, -46.644882)",Privada,0.5540109313559941
5468,338000,37,1,2,1,1,1,0,1,0,Bela Vista,sale,9135.135135135135,"(-23.552675, -46.639531)",Pública,0.2606707494124532
5469,325000,50,1,2,1,1,1,0,0,0,Bela Vista,sale,6500.0,"(-23.559193, -46.648901)",Privada,0.2671736818976049
5470,365000,36,1,2,1,2,1,0,1,0,Bela Vista,sale,10138.888888888889,"(-23.55491, -46.650245)",Privada,0.16213913724942577
